,기간,구별,자동차 등록 합계
495,2020.01,성북구,119391
496,2020.01,강북구,76382
497,2020.01,도봉구,96322
498,2020.01,노원구,152380
499,2020.01,은평구,129842
500,2020.01,서대문구,87491
501,2020.01,마포구,118080
502,2020.01,양천구,149779
503,2020.01,강서구,204915
504,2020.01,구로구,144725
505,2020.01,금천구,87674
506,2020.01,영등포구,141834
507,2020.01,동작구,105355
508,2020.01,관악구,120068
509,2020.01,서초구,181343
510,2020.01,강남구,235597
511,2020.01,송파구,241019
512,2020.01,강동구,141149
514,2020.02,서울시,3123984
515,2020.02,종로구,50094
516,2020.02,중구,51277
517,2020.02,용산구,76427
518,2020.02,성동구,105754
519,2020.02,광진구,99089
520,2020.02,동대문구,97712
521,2020.02,중랑구,112433
522,2020.02,성북구,119102
523,2020.02,강북구,76265
524,2020.02,도봉구,95969
525,2020.02,노원구,152172
526,2020.02,은평구,129452
527,2020.02,서대문구,87740
528,2020.02,마포구,118132
529,2020.02,양천구,149474
530,2020.02,강서구,204000
531,2020.02,구로구,143939
532,2020.02,금천구,87494
533,2020.02,영등포구,142432
534,2020.02,동작구,105066
535,2020.02,관악구,119646
536,2020.02,서초구,181131
537,2020.02,강남구,235376
538,2020.02,송파구,240671
539,2020.02,강동구,143137
541,2020.03,서울시,3125333
542,2020.03,종로구,50060
543,2020.03,중구,51160
544,2020.03,용산구,76481
545,2020.03,성동구,105530
546,2020.03,광진구,98772
547,2020.03,동대문구,97818
548,2020.03,중랑구,112117
549,2020.03,성북구,119182
550,2020.03,강북구,76081
551,2020.03,도봉구,95851
552,2020.03,노원구,152168
553,2020.03,은평구,129263
554,2020.03,서대문구,88037
555,2020.03,마포구,118311
556,2020.03,양천구,149358
557,2020.03,강서구,204343
558,2020.03,구로구,143761
559,2020.03,금천구,87448
560,2020.03,영등포구,142764
561,2020.03,동작구,105069
562,2020.03,관악구,119452
563,2020.03,서초구,181013
564,2020.03,강남구,235194
565,2020.03,송파구,240974
566,2020.03,강동구,145126
568,2020.04,서울시,3128523
569,2020.04,종로구,50079
570,2020.04,중구,51103
571,2020.04,용산구,76633
572,2020.04,성동구,105230
573,2020.04,광진구,98765
574,2020.04,동대문구,97840
575,2020.04,중랑구,112088
576,2020.04,성북구,119325
577,2020.04,강북구,76097
578,2020.04,도봉구,95822
579,2020.04,노원구,152220
580,2020.04,은평구,129528
581,2020.04,서대문구,88176
582,2020.04,마포구,118451
583,2020.04,양천구,150141
584,2020.04,강서구,205032
585,2020.04,구로구,143661
586,2020.04,금천구,87520
587,2020.04,영등포구,142951
588,2020.04,동작구,105157
589,2020.04,관악구,119405
590,2020.04,서초구,181122
591,2020.04,강남구,234909
592,2020.04,송파구,241003
593,2020.04,강동구,146265
595,2020.05,서울시,3133353
596,2020.05,종로구,50033
597,2020.05,중구,51143
598,2020.05,용산구,76678
599,2020.05,성동구,105199
600,2020.05,광진구,98897
601,2020.05,동대문구,98061
602,2020.05,중랑구,112162
603,2020.05,성북구,119592
604,2020.05,강북구,76096
605,2020.05,도봉구,95965
606,2020.05,노원구,152343
607,2020.05,은평구,129885
608,2020.05,서대문구,88355
609,2020.05,마포구,118707
610,2020.05,양천구,150898
611,2020.05,강서구,205114
612,2020.05,구로구,143851
613,2020.05,금천구,87730
614,2020.05,영등포구,143268
615,2020.05,동작구,105440
616,2020.05,관악구,119567
617,2020.05,서초구,181114
618,2020.05,강남구,234686
619,2020.05,송파구,241509
620,2020.05,강동구,147060
622,2020.06,서울시,3141710
623,2020.06,종로구,50204
624,2020.06,중구,50801
625,2020.06,용산구,77130
626,2020.06,성동구,104913
627,2020.06,광진구,99154
628,2020.06,동대문구,98295
629,2020.06,중랑구,112487
630,2020.06,성북구,120118
631,2020.06,강북구,76105
632,2020.06,도봉구,96298
633,2020.06,노원구,152751
634,2020.06,은평구,130779
635,2020.06,서대문구,88541
636,2020.06,마포구,118912
637,2020.06,양천구,151469
638,2020.06,강서구,205404
639,2020.06,구로구,144526
640,2020.06,금천구,87933
641,2020.06,영등포구,143747
642,2020.06,동작구,105678
643,2020.06,관악구,119928
644,2020.06,서초구,181382
645,2020.06,강남구,234898
646,2020.06,송파구,242501
647,2020.06,강동구,147756
649,2020.07,서울시,3147149
650,2020.07,종로구,50180
651,2020.07,중구,50913
652,2020.07,용산구,77246
653,2020.07,성동구,105537
654,2020.07,광진구,99042
655,2020.07,동대문구,98441
656,2020.07,중랑구,112808
657,2020.07,성북구,120239
658,2020.07,강북구,76127
659,2020.07,도봉구,96320
660,2020.07,노원구,152921
661,2020.07,은평구,131645
662,2020.07,서대문구,88650
663,2020.07,마포구,119121
664,2020.07,양천구,151655
665,2020.07,강서구,205277
666,2020.07,구로구,144838
667,2020.07,금천구,88297
668,2020.07,영등포구,143918
669,2020.07,동작구,105874
670,2020.07,관악구,120294
671,2020.07,서초구,181030
672,2020.07,강남구,235322
673,2020.07,송파구,243374
674,2020.07,강동구,148080
676,2020.08,서울시,3148071
677,2020.08,종로구,50116
678,2020.08,중구,51034
679,2020.08,용산구,77230
680,2020.08,성동구,105282
681,2020.08,광진구,98934
682,2020.08,동대문구,98340
683,2020.08,중랑구,113569
684,2020.08,성북구,120152
685,2020.08,강북구,76006
686,2020.08,도봉구,96183
687,2020.08,노원구,152795
688,2020.08,은평구,131966
689,2020.08,서대문구,88931
690,2020.08,마포구,119014
691,2020.08,양천구,151566
692,2020.08,강서구,204549
693,2020.08,구로구,145025
694,2020.08,금천구,88297
695,2020.08,영등포구,144183
696,2020.08,동작구,105915
697,2020.08,관악구,120077
698,2020.08,서초구,181128
699,2020.08,강남구,235309
700,2020.08,송파구,244236
701,2020.08,강동구,148234
703,2020.09,서울시,3151842
704,2020.09,종로구,50178
705,2020.09,중구,51155
706,2020.09,용산구,77954
707,2020.09,성동구,105413
708,2020.09,광진구,98894
709,2020.09,동대문구,98096
710,2020.09,중랑구,113868
711,2020.09,성북구,120222
712,2020.09,강북구,75991
713,2020.09,도봉구,96125
714,2020.09,노원구,152635
715,2020.09,은평구,132080
716,2020.09,서대문구,89223
717,2020.09,마포구,119133
718,2020.09,양천구,151586
719,2020.09,강서구,204629
720,2020.09,구로구,145340
721,2020.09,금천구,88328
722,2020.09,영등포구,144607
723,2020.09,동작구,105796
724,2020.09,관악구,119931
725,2020.09,서초구,180924
726,2020.09,강남구,235416
727,2020.09,송파구,245604
728,2020.09,강동구,148714
730,2020.1,서울시,3153732
731,2020.1,종로구,50158
732,2020.1,중구,51080
733,2020.1,용산구,78409
734,2020.1,성동구,105228
735,2020.1,광진구,99003
736,2020.1,동대문구,98149
737,2020.1,중랑구,113952
738,2020.1,성북구,120370
739,2020.1,강북구,75987
740,2020.1,도봉구,96101
741,2020.1,노원구,152567
742,2020.1,은평구,132197
743,2020.1,서대문구,89335
744,2020.1,마포구,119190
745,2020.1,양천구,151594
746,2020.1,강서구,204580
747,2020.1,구로구,145396
748,2020.1,금천구,88355
749,2020.1,영등포구,145032
750,2020.1,동작구,105686
751,2020.1,관악구,119787
752,2020.1,서초구,180596
753,2020.1,강남구,236005
754,2020.1,송파구,245738
755,2020.1,강동구,149237
757,2020.11,서울시,3157278
758,2020.11,종로구,50252
759,2020.11,중구,51114
760,2020.11,용산구,78898
761,2020.11,성동구,105403
762,2020.11,광진구,99153
763,2020.11,동대문구,98209
764,2020.11,중랑구,114109
765,2020.11,성북구,120466
766,2020.11,강북구,75888
767,2020.11,도봉구,96084
768,2020.11,노원구,152718
769,2020.11,은평구,132346
770,2020.11,서대문구,89378
771,2020.11,마포구,119302
772,2020.11,양천구,151669
773,2020.11,강서구,204861
774,2020.11,구로구,145570
775,2020.11,금천구,88388
776,2020.11,영등포구,145653
777,2020.11,동작구,105707
778,2020.11,관악구,119668
779,2020.11,서초구,180831
780,2020.11,강남구,236212
781,2020.11,송파구,245850
782,2020.11,강동구,149549
784,2020.12,서울시,3157361
785,2020.12,종로구,50267
