,연번,역번호,호선,역명,역주소,위도,경도,구별
264,265,2813,8,강동구청,서울특별시 강동구 올림픽로 지하550 (성내동),127.1205761,37.53067409,강동구
265,266,2814,8,몽촌토성,서울특별시 송파구 올림픽로 지하383,127.1124299,37.51762363,송파구
266,267,2815,8,잠실,서울특별시 송파구 올림픽로 지하 265 (잠실동),127.1018579,37.51385928,송파구
267,268,2816,8,석촌,서울특별시 송파구 송파대로 지하439 (석촌동),127.1063453,37.50594964,송파구
268,269,2817,8,송파,서울특별시 송파구 송파대로 지하354 (가락동),127.1121799,37.49968667,송파구
269,270,2818,8,가락시장,서울특별시 송파구 송파대로 지하 257 (가락동),127.1184857,37.49274403,송파구
270,271,2819,8,문정,서울특별시 송파구 송파대로 지하179 (문정동),127.1222903,37.48626182,송파구
271,272,2820,8,장지,서울특별시 송파구 송파대로 지하82 (장지동),127.1264242,37.47811921,송파구
272,273,2821,8,복정,서울특별시 송파구 송파대로 지하6 (장지동),127.1267712,37.471056,송파구
273,274,2822,8,산성,경기도 성남시 수정구 수정로 지하365(신흥동),127.1499435,37.45652458,성남시
274,275,2823,8,남한산성입구,경기도 성남시 수정구 산성대로 지하 445,127.1598025,37.45156834,성남시
275,276,2824,8,단대오거리,경기도 성남시 수정구 산성대로 지하365 (신흥동),127.1566879,37.44514315,성남시
276,277,2825,8,신흥,경기도 성남시 수정구 산성대로 지하280 (신흥동),127.1481076,37.44118408,성남시
277,278,2826,8,수진,경기도 성남시 수정구 산성대로 지하200 (수진동),127.1403519,37.43745947,성남시
278,279,2827,8,모란,경기도 성남시 수정구 산성대로 지하100 (수진동),127.1295512,37.43385017,성남시
279,280,4126,9,언주,서울특별시 강남구 봉은사로 지하 201,127.0342847,37.5074455,강남구
280,281,4127,9,선정릉,서울특별시 강남구 선릉로 지하 580,127.043641,37.51085389,강남구
281,282,4128,9,삼성중앙,서울특별시 강남구 봉은사로 지하 501,127.0527057,37.51288303,강남구
282,283,4129,9,봉은사,서울특별시 강남구 봉은사로 지하 601,127.0608919,37.51436062,강남구
283,284,4130,9,종합운동장,서울특별시 송파구 올림픽로 지하 23 (잠실동),127.073356,37.51096927,송파구
284,285,4131,9,삼전,서울특별시 송파구 백제고분로 187,127.0877816,37.5047453,송파구
285,286,4132,9,석촌고분,서울특별시 송파구 삼학사로 53,127.096617,37.50201881,송파구
286,287,4133,9,석촌,서울특별시 송파구 송파대로 439,127.1063453,37.50594964,송파구
287,288,4134,9,송파나루,서울특별시 송파구 오금로 165,127.1131232,37.51012031,송파구
288,289,4135,9,한성백제,서울특별시 송파구 위례성대로 51,127.1181845,37.51686487,송파구
289,290,4136,9,올림픽공원,서울특별시 송파구 양재대로 1233,127.1306001,37.51608765,송파구
290,291,4137,9,둔촌오륜,서울특별시 강동구 강동대로 303,127.1384273,37.51942425,강동구
291,292,4138,9,중앙보훈병원,서울특별시 강동구 명일로 117,127.148542,37.52889572,강동구
